10.8611598049 10.8619473160 10.8629422239 
 10.8611774170 10.8619677115 10.8629659318 
 10.8611779120 10.8619688816 10.8629677677 
 10.8611612041 10.8619507376 10.8629476422 
 10.8611286634 10.8619145987 10.8629068141 
 10.8610831075 10.8618631841 10.8628478859 
 10.8610287823 10.8618006002 10.8627747952 
 10.8609713320 10.8617323160 10.8626927985 
 10.8609177535 10.8616651275 10.8626084459 
 10.8608763328 10.8616071047 10.8625295409 
 10.8608565555 10.8615675162 10.8624650808 
 10.8608689874 10.8615567238 10.8624251694 
 10.8609251149 10.8615860399 10.8624208937 
 10.8610371353 10.8616675351 10.8624641537 
 10.8612176866 10.8618137866 10.8625674329 
 10.8614795025 10.8620375516 10.8627434961 
 10.8618349779 10.8623513535 10.8630049996 
 10.8622956364 10.8627669670 10.8633640007 
 10.8628714917 10.8632947988 10.8638313607 
 10.8635703162 10.8639431693 10.8644160450 
 10.8643968534 10.8647175301 10.8651243494 
 10.8653520510 10.8656196872 10.8659591139 
 10.8664324380 10.8666471436 10.8669190309 
 10.8676298024 10.8677927156 10.8679981912 
 10.8689313194 10.8690445738 10.8691860244 
 10.8703202092 10.8703868043 10.8704677413 
 10.8717768733 10.8718004623 10.8718252798 
 10.8732803171 10.8732649486 10.8732386135 
 10.8748095862 10.8747594470 10.8746871777 
 10.8763449701 10.8762641685 10.8761511527 
 10.8778688257 10.8777612365 10.8776124209 
 10.8793660017 10.8792351740 10.8790551317 
 10.8808239278 10.8806730460 10.8804659122 
 10.8822324754 10.8820643565 10.8818338133 
 10.8835836876 10.8834008011 10.8831500950 
 10.8848714582 10.8846759569 10.8844079321 
 10.8860912078 10.8858849628 10.8856021022 
 10.8872395873 10.8870242215 10.8867286881 
 10.8883142190 10.8880911390 10.8877848150 
 10.8893134803 10.8890839035 10.8887684252 
 10.8902363257 10.8900013044 10.8896780932 
 10.8910821441 10.8908425859 10.8905128749 
 10.8918506446 10.8916073302 10.8912721873 
 10.8925417658 10.8922953645 10.8919557128 
 10.8931556050 10.8929066880 10.8925633241 
 10.8936923611 10.8934414143 10.8930950240 
 10.8941522904 10.8938997253 10.8935508993 
